"Mes","Recibidas","Atendidas","No Atendidas","Abandonadas","Transferidas","Esp.Media","Dur.Media","Max. en Espera","% Atendidas","% No Atendidas","SLA"
" Octubre 2018","34","7","0","27","0","00:03:46","00:00:49","2","20.59 %","79.41 %","17.65 %"
" Noviembre 2018","110","0","0","110","0","00:03:53","00:00:00","4","0 %","100 %","0 %"
" Diciembre 2018","66","0","0","66","0","00:02:14","00:00:00","3","0 %","100 %","0 %"
" Enero 2019","38","0","0","38","0","00:02:48","00:00:00","2","0 %","100 %","0 %"
" Febrero 2019","78","0","0","78","0","00:02:33","00:00:00","4","0 %","100 %","0 %"
" Marzo 2019","23","1","0","22","0","00:02:35","00:00:01","2","4.35 %","95.65 %","4.35 %"
