"Mes","Recibidas","Atendidas","No Atendidas","Abandonadas","Transferidas","Esp.Media","Dur.Media","Max. en Espera","% Atendidas","% No Atendidas","SLA"
" Octubre 2018","379","309","28","40","2","00:00:31","00:03:40","2","81.53 %","17.94 %","81.27 %"
" Noviembre 2018","756","490","111","146","9","00:00:49","00:03:49","4","64.81 %","33.99 %","64.68 %"
" Diciembre 2018","763","591","74","89","9","00:00:24","00:03:40","3","77.46 %","21.36 %","77.46 %"
" Enero 2019","778","664","40","64","10","00:00:19","00:03:34","2","85.35 %","13.37 %","85.35 %"
" Febrero 2019","801","588","83","115","15","00:00:28","00:03:39","4","73.41 %","24.72 %","73.41 %"
" Marzo 2019","771","705","22","36","8","00:00:13","00:03:45","3","91.44 %","7.52 %","91.44 %"
