"Mes","Recibidas","Atendidas","No Atendidas","Abandonadas","Transferidas","Esp.Media","Dur.Media","Max. en Espera","% Atendidas","% No Atendidas","SLA"
" Octubre 2018","279","248","23","6","2","00:00:11","00:03:53","2","88.89 %","10.39 %","88.89 %"
" Noviembre 2018","568","440","93","26","9","00:00:16","00:03:56","2","77.46 %","20.95 %","77.46 %"
" Diciembre 2018","652","569","59","15","9","00:00:13","00:03:35","2","87.27 %","11.35 %","87.27 %"
" Enero 2019","657","605","28","15","9","00:00:10","00:03:35","2","92.09 %","6.54 %","92.09 %"
" Febrero 2019","662","558","61","28","15","00:00:13","00:03:40","2","84.29 %","13.44 %","84.29 %"
" Marzo 2019","663","629","16","11","7","00:00:08","00:03:47","3","94.87 %","4.07 %","94.87 %"
